File,Timestamp,Acceleration_X,Acceleration_Y,Acceleration_Z,Altitude,Ambient_Temp,GPS_Fix,Humidity,Infrared,Latitude,Light,Longitude,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,Probe_Temp,Visible
File_14453.json,05/20/2024 04:00:45.602662,9.79,-0.04,0.88,0.0,31.29,0.0,31.50,7,0.0,6.94,0.0,-372.36,-116.55,-417.96,11.72,458799
File_6346.json,05/20/2024 04:01:45.670643,9.75,-0.08,0.88,0.0,31.28,0.0,31.46,7,0.0,6.61,0.0,-372.36,-116.55,-417.96,12.19,458796
File_15357.json,05/20/2024 04:02:45.739378,9.75,-0.04,1.03,0.0,31.29,0.0,31.44,7,0.0,6.78,0.0,-372.36,-116.55,-417.96,12.60,458798
File_3833.json,05/20/2024 04:03:45.818811,9.75,-0.04,0.96,0.0,31.30,0.0,31.41,7,0.0,6.29,0.0,-372.36,-116.55,-417.96,12.97,458795
File_6631.json,05/20/2024 04:04:45.876762,9.75,-0.08,0.92,0.0,31.30,0.0,31.39,8,0.0,6.67,0.0,-372.36,-116.55,-417.96,13.24,524334
File_8268.json,05/20/2024 04:05:45.934345,9.79,-0.08,0.96,0.0,31.28,0.0,31.36,7,0.0,6.61,0.0,-372.36,-116.64,-417.96,13.54,458797
File_1976.json,05/20/2024 04:06:46.006011,9.75,-0.04,0.92,0.0,31.28,0.0,31.37,7,0.0,6.61,0.0,-372.36,-116.45,-417.96,13.74,458797
File_2189.json,05/20/2024 04:07:46.069416,9.75,0.00,0.88,0.0,31.28,0.0,31.37,8,0.0,6.83,0.0,-372.36,-116.27,-417.96,13.98,524335
File_10026.json,05/20/2024 04:08:46.148078,9.79,-0.08,0.92,0.0,31.28,0.0,31.33,8,0.0,6.83,0.0,-372.36,-116.73,-417.96,14.25,524335
File_18681.json,05/20/2024 04:09:46.210540,9.75,0.08,0.99,0.0,31.28,0.0,31.35,7,0.0,6.61,0.0,-372.36,-116.55,-417.96,13.78,458797
File_18275.json,05/20/2024 04:10:46.278122,9.79,-0.08,0.92,0.0,31.25,0.0,31.33,8,0.0,6.83,0.0,-372.36,-116.18,-417.96,6.81,524335
File_6804.json,05/20/2024 04:11:46.350250,9.71,-0.08,0.88,0.0,31.25,0.0,31.30,8,0.0,7.16,0.0,-372.36,-116.36,-417.96,5.70,524337
File_7134.json,05/20/2024 04:12:46.407905,9.79,-0.11,0.99,0.0,31.26,0.0,31.27,7,0.0,6.78,0.0,-372.36,-116.45,-417.96,5.63,458798
File_15110.json,05/20/2024 04:13:46.490412,9.75,-0.11,0.80,0.0,31.25,0.0,31.28,8,0.0,6.83,0.0,-372.36,-116.64,-417.96,5.33,524335
File_7549.json,05/20/2024 04:19:48.050979,9.75,0.00,0.96,0.0,31.28,0.0,31.28,8,0.0,6.83,0.0,-372.36,-116.64,-417.96,7.82,524335
